source,target,from,to
100205,100205,en,ja
100206,100206,en,ja
100207,100207,en,ja
100208,100208,en,ja
100209,100209,en,ja
10021,10021,en,ja
100210,100210,en,ja
100211,100211,en,ja
100212,100212,en,ja
100213,100213,en,ja
100214,100214,en,ja
100215,100215,en,ja
100216,100216,en,ja
100217,100217,en,ja
100218,100218,en,ja
100219,100219,en,ja
10022,10022,en,ja
100220,100220,en,ja
100221,100221,en,ja
100222,100222,en,ja
100223,100223,en,ja
100224,100224,en,ja
100225,100225,en,ja
100226,100226,en,ja
100227,100227,en,ja
100228,100228,en,ja
100229,100229,en,ja
10023,10023,en,ja
100230,100230,en,ja
100231,100231,en,ja
100232,100232,en,ja
100233,100233,en,ja
100234,100234,en,ja
100235,100235,en,ja
100236,100236,en,ja
100237,100237,en,ja
100238,100238,en,ja
100239,100239,en,ja
10024,10024,en,ja
100240,100240,en,ja
100241,100241,en,ja
100242,100242,en,ja
100243,100243,en,ja
100244,100244,en,ja
100245,100245,en,ja
100246,100246,en,ja
100247,100247,en,ja
100248,100248,en,ja
100249,100249,en,ja
10025,10025,en,ja
100250,100250,en,ja
100251,100251,en,ja
100252,100252,en,ja
100253,100253,en,ja
100254,100254,en,ja
100255,100255,en,ja
100256,100256,en,ja
100257,100257,en,ja
100258,100258,en,ja
100259,100259,en,ja
10026,10026,en,ja
100260,100260,en,ja
100261,100261,en,ja
100262,100262,en,ja
100263,100263,en,ja
100264,100264,en,ja
100265,100265,en,ja
100266,100266,en,ja
100267,100267,en,ja
100268,100268,en,ja
100269,100269,en,ja
10027,10027,en,ja
100270,100270,en,ja
100271,100271,en,ja
100272,100272,en,ja
100273,100273,en,ja
100274,100274,en,ja
100275,100275,en,ja
100276,100276,en,ja
100277,100277,en,ja
100278,100278,en,ja
100279,100279,en,ja
10028,10028,en,ja
100280,100280,en,ja
100281,100281,en,ja
100282,100282,en,ja
100283,100283,en,ja
100284,100284,en,ja
100285,100285,en,ja
100286,100286,en,ja
100287,100287,en,ja
100288,100288,en,ja
100289,100289,en,ja
10029,10029,en,ja
100290,100290,en,ja
100291,100291,en,ja
100292,100292,en,ja
100293,100293,en,ja
100294,100294,en,ja
100295,100295,en,ja
100296,100296,en,ja
100297,100297,en,ja
100298,100298,en,ja
100299,100299,en,ja
1003,1003,en,ja
10030,10030,en,ja
100300,100300,en,ja
100301,100301,en,ja
100302,100302,en,ja
100303,100303,en,ja
100304,100304,en,ja
100305,100305,en,ja
100306,100306,en,ja
100307,100307,en,ja
100308,100308,en,ja
100309,100309,en,ja
10031,10031,en,ja
100310,100310,en,ja
100311,100311,en,ja
100312,100312,en,ja
100313,100313,en,ja
100314,100314,en,ja
100315,100315,en,ja
100316,100316,en,ja
100317,100317,en,ja
100318,100318,en,ja
100319,100319,en,ja
10032,10032,en,ja
100320,100320,en,ja
100321,100321,en,ja
100322,100322,en,ja
100323,100323,en,ja
100324,100324,en,ja
100325,100325,en,ja
100326,100326,en,ja
100327,100327,en,ja
100328,100328,en,ja
100329,100329,en,ja
10033,10033,en,ja
100330,100330,en,ja
100331,100331,en,ja
100332,100332,en,ja
100333,100333,en,ja
100334,100334,en,ja
100335,100335,en,ja
100336,100336,en,ja
100337,100337,en,ja
100338,100338,en,ja
100339,100339,en,ja
10034,10034,en,ja
100340,100340,en,ja
100341,100341,en,ja
100342,100342,en,ja
100343,100343,en,ja
100344,100344,en,ja
100345,100345,en,ja
100346,100346,en,ja
100347,100347,en,ja
100348,100348,en,ja
100349,100349,en,ja
10035,10035,en,ja
100350,100350,en,ja
100351,100351,en,ja
100352,100352,en,ja
100353,100353,en,ja
100354,100354,en,ja
100355,100355,en,ja
100356,100356,en,ja
100357,100357,en,ja
100358,100358,en,ja
100359,100359,en,ja
10036,10036,en,ja
100360,100360,en,ja
100361,100361,en,ja
100362,100362,en,ja
100363,100363,en,ja
100364,100364,en,ja
100365,100365,en,ja
100366,100366,en,ja
100367,100367,en,ja
100368,100368,en,ja
100369,100369,en,ja
10037,10037,en,ja
100370,100370,en,ja
100371,100371,en,ja
100372,100372,en,ja
100373,100373,en,ja
100374,100374,en,ja
100375,100375,en,ja
100376,100376,en,ja
100377,100377,en,ja
100378,100378,en,ja
100379,100379,en,ja
10038,10038,en,ja
100380,100380,en,ja
100381,100381,en,ja
100382,100382,en,ja
100383,100383,en,ja
100384,100384,en,ja
100385,100385,en,ja
100386,100386,en,ja
100387,100387,en,ja
100388,100388,en,ja
100389,100389,en,ja
10039,10039,en,ja
100390,100390,en,ja
100391,100391,en,ja
100392,100392,en,ja
100393,100393,en,ja
100394,100394,en,ja
100395,100395,en,ja
100396,100396,en,ja
100397,100397,en,ja
100398,100398,en,ja
100399,100399,en,ja
1004,1004,en,ja
10040,10040,en,ja
100400,100400,en,ja
100401,100401,en,ja
100402,100402,en,ja
100403,100403,en,ja
100404,100404,en,ja
100405,100405,en,ja
100406,100406,en,ja
100407,100407,en,ja
100408,100408,en,ja
100409,100409,en,ja
10041,10041,en,ja
100410,100410,en,ja
100411,100411,en,ja
100412,100412,en,ja
100413,100413,en,ja
100414,100414,en,ja
100415,100415,en,ja
100416,100416,en,ja
100417,100417,en,ja
100418,100418,en,ja
100419,100419,en,ja
10042,10042,en,ja
100420,100420,en,ja
100421,100421,en,ja
100422,100422,en,ja
100423,100423,en,ja
100424,100424,en,ja
100425,100425,en,ja
100426,100426,en,ja
100427,100427,en,ja
100428,100428,en,ja
100429,100429,en,ja
10043,10043,en,ja
100430,100430,en,ja
100431,100431,en,ja
100432,100432,en,ja
100433,100433,en,ja
100434,100434,en,ja
100435,100435,en,ja
100436,100436,en,ja
100437,100437,en,ja
100438,100438,en,ja
100439,100439,en,ja
10044,10044,en,ja
100440,100440,en,ja
100441,100441,en,ja
100442,100442,en,ja
100443,100443,en,ja
100444,100444,en,ja
100445,100445,en,ja
100446,100446,en,ja
100447,100447,en,ja
100448,100448,en,ja
100449,100449,en,ja
10045,10045,en,ja
100450,100450,en,ja
100451,100451,en,ja
100452,100452,en,ja
100453,100453,en,ja
100454,100454,en,ja
100455,100455,en,ja
100456,100456,en,ja
100457,100457,en,ja
100458,100458,en,ja
100459,100459,en,ja
10046,10046,en,ja
100460,100460,en,ja
100461,100461,en,ja
100462,100462,en,ja
100463,100463,en,ja
100464,100464,en,ja
100465,100465,en,ja
100466,100466,en,ja
100467,100467,en,ja
100468,100468,en,ja
100469,100469,en,ja
10047,10047,en,ja
100470,100470,en,ja
100471,100471,en,ja
100472,100472,en,ja
100473,100473,en,ja
100474,100474,en,ja
100475,100475,en,ja
100476,100476,en,ja
100477,100477,en,ja
100478,100478,en,ja
100479,100479,en,ja
10048,10048,en,ja
100480,100480,en,ja
100481,100481,en,ja
100482,100482,en,ja
100483,100483,en,ja
100484,100484,en,ja
100485,100485,en,ja
100486,100486,en,ja
100487,100487,en,ja
100488,100488,en,ja
100489,100489,en,ja
10049,10049,en,ja
100490,100490,en,ja
100491,100491,en,ja
100492,100492,en,ja
100493,100493,en,ja
100494,100494,en,ja
100495,100495,en,ja
100496,100496,en,ja
100497,100497,en,ja
100498,100498,en,ja
100499,100499,en,ja
1005,1005,en,ja
10050,10050,en,ja
100500,100500,en,ja
100501,100501,en,ja
100502,100502,en,ja
100503,100503,en,ja
100504,100504,en,ja
100505,100505,en,ja
100506,100506,en,ja
100507,100507,en,ja
100508,100508,en,ja
100509,100509,en,ja
10051,10051,en,ja
100510,100510,en,ja
100511,100511,en,ja
100512,100512,en,ja
100513,100513,en,ja
100514,100514,en,ja
100515,100515,en,ja
100516,100516,en,ja
100517,100517,en,ja
100518,100518,en,ja
100519,100519,en,ja
10052,10052,en,ja
100520,100520,en,ja
100521,100521,en,ja
100522,100522,en,ja
100523,100523,en,ja
100524,100524,en,ja
100525,100525,en,ja
100526,100526,en,ja
100527,100527,en,ja
100528,100528,en,ja
100529,100529,en,ja
10053,10053,en,ja
100530,100530,en,ja
100531,100531,en,ja
100532,100532,en,ja
100533,100533,en,ja
100534,100534,en,ja
100535,100535,en,ja
100536,100536,en,ja
100537,100537,en,ja
100538,100538,en,ja
100539,100539,en,ja
10054,10054,en,ja
100540,100540,en,ja
100541,100541,en,ja
100542,100542,en,ja
100543,100543,en,ja
100544,100544,en,ja
100545,100545,en,ja
100546,100546,en,ja
100547,100547,en,ja
100548,100548,en,ja
100549,100549,en,ja
10055,10055,en,ja
100550,100550,en,ja
100551,100551,en,ja
100552,100552,en,ja
100553,100553,en,ja
100554,100554,en,ja
100555,100555,en,ja
100556,100556,en,ja
100557,100557,en,ja
100558,100558,en,ja
100559,100559,en,ja
10056,10056,en,ja
100560,100560,en,ja
100561,100561,en,ja
100562,100562,en,ja
100563,100563,en,ja
100564,100564,en,ja
100565,100565,en,ja
100566,100566,en,ja
100567,100567,en,ja
100568,100568,en,ja
100569,100569,en,ja
10057,10057,en,ja
100570,100570,en,ja
100571,100571,en,ja
100572,100572,en,ja
100573,100573,en,ja
100574,100574,en,ja
100575,100575,en,ja
100576,100576,en,ja
100577,100577,en,ja
100578,100578,en,ja
100579,100579,en,ja
10058,10058,en,ja
100580,100580,en,ja
100581,100581,en,ja
100582,100582,en,ja
100583,100583,en,ja
100584,100584,en,ja
100585,100585,en,ja
100586,100586,en,ja
100587,100587,en,ja
100588,100588,en,ja
100589,100589,en,ja
10059,10059,en,ja
100590,100590,en,ja
100591,100591,en,ja
100592,100592,en,ja
100593,100593,en,ja
100594,100594,en,ja
100595,100595,en,ja
100596,100596,en,ja
100597,100597,en,ja
100598,100598,en,ja
100599,100599,en,ja
1006,1006,en,ja
10060,10060,en,ja
100600,100600,en,ja
100601,100601,en,ja
100602,100602,en,ja
100603,100603,en,ja
100604,100604,en,ja
100605,100605,en,ja
100606,100606,en,ja
100607,100607,en,ja
100608,100608,en,ja
100609,100609,en,ja
10061,10061,en,ja
100610,100610,en,ja
100611,100611,en,ja
100612,100612,en,ja
100613,100613,en,ja
100614,100614,en,ja
100615,100615,en,ja
100616,100616,en,ja
100617,100617,en,ja
100618,100618,en,ja
100619,100619,en,ja
10062,10062,en,ja
100620,100620,en,ja
100621,100621,en,ja
100622,100622,en,ja
100623,100623,en,ja
100624,100624,en,ja
100625,100625,en,ja
100626,100626,en,ja
100627,100627,en,ja
100628,100628,en,ja
100629,100629,en,ja
10063,10063,en,ja
100630,100630,en,ja
100631,100631,en,ja
100632,100632,en,ja
100633,100633,en,ja
100634,100634,en,ja
100635,100635,en,ja
100636,100636,en,ja
100637,100637,en,ja
100638,100638,en,ja
100639,100639,en,ja
10064,10064,en,ja
100640,100640,en,ja
100641,100641,en,ja
100642,100642,en,ja
100643,100643,en,ja
100644,100644,en,ja
100645,100645,en,ja
100646,100646,en,ja
100647,100647,en,ja
100648,100648,en,ja
100649,100649,en,ja
10065,10065,en,ja
100650,100650,en,ja
100651,100651,en,ja
100652,100652,en,ja
100653,100653,en,ja
100654,100654,en,ja
100655,100655,en,ja
100656,100656,en,ja
100657,100657,en,ja
100658,100658,en,ja
100659,100659,en,ja
10066,10066,en,ja
100660,100660,en,ja
100661,100661,en,ja
100662,100662,en,ja
100663,100663,en,ja
100664,100664,en,ja
100665,100665,en,ja
100666,100666,en,ja
100667,100667,en,ja
100668,100668,en,ja
100669,100669,en,ja
10067,10067,en,ja
100670,100670,en,ja
100671,100671,en,ja
100672,100672,en,ja
100673,100673,en,ja
100674,100674,en,ja
100675,100675,en,ja
100676,100676,en,ja
100677,100677,en,ja
100678,100678,en,ja
100679,100679,en,ja
10068,10068,en,ja
100680,100680,en,ja
100681,100681,en,ja
100682,100682,en,ja
100683,100683,en,ja
100684,100684,en,ja
100685,100685,en,ja
100686,100686,en,ja
100687,100687,en,ja
100688,100688,en,ja
100689,100689,en,ja
10069,10069,en,ja
100690,100690,en,ja
100691,100691,en,ja
100692,100692,en,ja
100693,100693,en,ja
100694,100694,en,ja
100695,100695,en,ja
100696,100696,en,ja
100697,100697,en,ja
100698,100698,en,ja
100699,100699,en,ja
1007,1007,en,ja
10070,10070,en,ja
100700,100700,en,ja
100701,100701,en,ja
100702,100702,en,ja
100703,100703,en,ja
100704,100704,en,ja
100705,100705,en,ja
100706,100706,en,ja
100707,100707,en,ja
100708,100708,en,ja
100709,100709,en,ja
10071,10071,en,ja
100710,100710,en,ja
100711,100711,en,ja
100712,100712,en,ja
100713,100713,en,ja
100714,100714,en,ja
100715,100715,en,ja
100716,100716,en,ja
100717,100717,en,ja
100718,100718,en,ja
100719,100719,en,ja
10072,10072,en,ja
100720,100720,en,ja
100721,100721,en,ja
100722,100722,en,ja
100723,100723,en,ja
100724,100724,en,ja
100725,100725,en,ja
100726,100726,en,ja
100727,100727,en,ja
100728,100728,en,ja
100729,100729,en,ja
10073,10073,en,ja
100730,100730,en,ja
100731,100731,en,ja
100732,100732,en,ja
100733,100733,en,ja
100734,100734,en,ja
100735,100735,en,ja
100736,100736,en,ja
100737,100737,en,ja
100738,100738,en,ja
100739,100739,en,ja
10074,10074,en,ja
100740,100740,en,ja
100741,100741,en,ja
100742,100742,en,ja
100743,100743,en,ja
100744,100744,en,ja
100745,100745,en,ja
100746,100746,en,ja
100747,100747,en,ja
100748,100748,en,ja
100749,100749,en,ja
10075,10075,en,ja
100750,100750,en,ja
100751,100751,en,ja
100752,100752,en,ja
100753,100753,en,ja
100754,100754,en,ja
100755,100755,en,ja
100756,100756,en,ja
100757,100757,en,ja
100758,100758,en,ja
100759,100759,en,ja
10076,10076,en,ja
100760,100760,en,ja
100761,100761,en,ja
100762,100762,en,ja
100763,100763,en,ja
100764,100764,en,ja
100765,100765,en,ja
100766,100766,en,ja
100767,100767,en,ja
100768,100768,en,ja
100769,100769,en,ja
10077,10077,en,ja
100770,100770,en,ja
100771,100771,en,ja
100772,100772,en,ja
100773,100773,en,ja
100774,100774,en,ja
100775,100775,en,ja
100776,100776,en,ja
100777,100777,en,ja
100778,100778,en,ja
100779,100779,en,ja
10078,10078,en,ja
100780,100780,en,ja
100781,100781,en,ja
100782,100782,en,ja
100783,100783,en,ja
100784,100784,en,ja
100785,100785,en,ja
100786,100786,en,ja
100787,100787,en,ja
100788,100788,en,ja
100789,100789,en,ja
10079,10079,en,ja
100790,100790,en,ja
100791,100791,en,ja
100792,100792,en,ja
100793,100793,en,ja
100794,100794,en,ja
100795,100795,en,ja
100796,100796,en,ja
100797,100797,en,ja
100798,100798,en,ja
100799,100799,en,ja
1008,1008,en,ja
10080,10080,en,ja
100800,100800,en,ja
100801,100801,en,ja
100802,100802,en,ja
100803,100803,en,ja
100804,100804,en,ja
100805,100805,en,ja
100806,100806,en,ja
100807,100807,en,ja
100808,100808,en,ja
100809,100809,en,ja
10081,10081,en,ja
100810,100810,en,ja
100811,100811,en,ja
100812,100812,en,ja
100813,100813,en,ja
100814,100814,en,ja
100815,100815,en,ja
100816,100816,en,ja
100817,100817,en,ja
100818,100818,en,ja
100819,100819,en,ja
10082,10082,en,ja
100820,100820,en,ja
100821,100821,en,ja
100822,100822,en,ja
100823,100823,en,ja
100824,100824,en,ja
100825,100825,en,ja
100826,100826,en,ja
100827,100827,en,ja
100828,100828,en,ja
100829,100829,en,ja
10083,10083,en,ja
100830,100830,en,ja
100831,100831,en,ja
100832,100832,en,ja
100833,100833,en,ja
100834,100834,en,ja
100835,100835,en,ja
100836,100836,en,ja
100837,100837,en,ja
100838,100838,en,ja
100839,100839,en,ja
10084,10084,en,ja
100840,100840,en,ja
100841,100841,en,ja
100842,100842,en,ja
100843,100843,en,ja
100844,100844,en,ja
100845,100845,en,ja
100846,100846,en,ja
100847,100847,en,ja
100848,100848,en,ja
100849,100849,en,ja
10085,10085,en,ja
100850,100850,en,ja
100851,100851,en,ja
100852,100852,en,ja
100853,100853,en,ja
100854,100854,en,ja
100855,100855,en,ja
100856,100856,en,ja
100857,100857,en,ja
100858,100858,en,ja
100859,100859,en,ja
10086,10086,en,ja
100860,100860,en,ja
100861,100861,en,ja
100862,100862,en,ja
100863,100863,en,ja
100864,100864,en,ja
100865,100865,en,ja
100866,100866,en,ja
100867,100867,en,ja
100868,100868,en,ja
100869,100869,en,ja
10087,10087,en,ja
100870,100870,en,ja
100871,100871,en,ja
100872,100872,en,ja
100873,100873,en,ja
100874,100874,en,ja
100875,100875,en,ja
100876,100876,en,ja
100877,100877,en,ja
100878,100878,en,ja
100879,100879,en,ja
10088,10088,en,ja
100880,100880,en,ja
100881,100881,en,ja
100882,100882,en,ja
100883,100883,en,ja
100884,100884,en,ja
100885,100885,en,ja
100886,100886,en,ja
100887,100887,en,ja
100888,100888,en,ja
100889,100889,en,ja
10089,10089,en,ja
100890,100890,en,ja
100891,100891,en,ja
100892,100892,en,ja
100893,100893,en,ja
100894,100894,en,ja
100895,100895,en,ja
100896,100896,en,ja
100897,100897,en,ja
100898,100898,en,ja
100899,100899,en,ja
1009,1009,en,ja
10090,10090,en,ja
100900,100900,en,ja
100901,100901,en,ja
100902,100902,en,ja
100903,100903,en,ja
100904,100904,en,ja
100905,100905,en,ja
100906,100906,en,ja
100907,100907,en,ja
100908,100908,en,ja
100909,100909,en,ja
10091,10091,en,ja
100910,100910,en,ja
100911,100911,en,ja
100912,100912,en,ja
100913,100913,en,ja
100914,100914,en,ja
100915,100915,en,ja
100916,100916,en,ja
100917,100917,en,ja
100918,100918,en,ja
100919,100919,en,ja
10092,10092,en,ja
100920,100920,en,ja
100921,100921,en,ja
100922,100922,en,ja
100923,100923,en,ja
100924,100924,en,ja
100925,100925,en,ja
100926,100926,en,ja
100927,100927,en,ja
100928,100928,en,ja
100929,100929,en,ja
10093,10093,en,ja
100930,100930,en,ja
100931,100931,en,ja
100932,100932,en,ja
100933,100933,en,ja
100934,100934,en,ja
100935,100935,en,ja
100936,100936,en,ja
100937,100937,en,ja
100938,100938,en,ja
100939,100939,en,ja
10094,10094,en,ja
100940,100940,en,ja
100941,100941,en,ja
100942,100942,en,ja
100943,100943,en,ja
100944,100944,en,ja
100945,100945,en,ja
100946,100946,en,ja
100947,100947,en,ja
100948,100948,en,ja
100949,100949,en,ja
10095,10095,en,ja
100950,100950,en,ja
100951,100951,en,ja
100952,100952,en,ja
100953,100953,en,ja
100954,100954,en,ja
100955,100955,en,ja
100956,100956,en,ja
100957,100957,en,ja
100958,100958,en,ja
100959,100959,en,ja
10096,10096,en,ja
100960,100960,en,ja
100961,100961,en,ja
100962,100962,en,ja
100963,100963,en,ja
100964,100964,en,ja
100965,100965,en,ja
100966,100966,en,ja
100967,100967,en,ja
100968,100968,en,ja
100969,100969,en,ja
10097,10097,en,ja
100970,100970,en,ja
100971,100971,en,ja
100972,100972,en,ja
100973,100973,en,ja
100974,100974,en,ja
100975,100975,en,ja
100976,100976,en,ja
100977,100977,en,ja
100978,100978,en,ja
100979,100979,en,ja
10098,10098,en,ja
100980,100980,en,ja
100981,100981,en,ja
100982,100982,en,ja
100983,100983,en,ja
100984,100984,en,ja
100985,100985,en,ja
100986,100986,en,ja
100987,100987,en,ja
100988,100988,en,ja
100989,100989,en,ja
10099,10099,en,ja
100990,100990,en,ja
100991,100991,en,ja
100992,100992,en,ja
100993,100993,en,ja
100994,100994,en,ja
100995,100995,en,ja
100996,100996,en,ja
100997,100997,en,ja
100998,100998,en,ja
100999,100999,en,ja
101,101,en,ja
1010,1010,en,ja
10100,10100,en,ja
101000,101000,en,ja
101001,101001,en,ja
101002,101002,en,ja
101003,101003,en,ja
101004,101004,en,ja
101005,101005,en,ja
101006,101006,en,ja
101007,101007,en,ja
101008,101008,en,ja
101009,101009,en,ja
10101,10101,en,ja
101010,101010,en,ja
101011,101011,en,ja
101012,101012,en,ja
101013,101013,en,ja
101014,101014,en,ja
101015,101015,en,ja
101016,101016,en,ja
101017,101017,en,ja
101018,101018,en,ja
101019,101019,en,ja
10102,10102,en,ja
101020,101020,en,ja
101021,101021,en,ja
101022,101022,en,ja
101023,101023,en,ja
